#  L TT            EE            BB            TE            PP            PT            PE           
   0 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   1 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   2 1.0272140e+03 3.0502090e-02 1.7067078e-06 2.6022605e+00 5.0171763e-08 3.0310047e-03 -1.2181835e-05
   3 9.7204893e+02 3.9362596e-02 3.4138861e-06 2.9277569e+00 6.1040460e-08 3.0272927e-03 -1.3095638e-05
   4 9.1934361e+02 3.4355232e-02 5.6908518e-06 2.7530715e+00 7.0316536e-08 2.9498274e-03 -1.1118502e-05
   5 8.8007941e+02 2.3105638e-02 8.5382216e-06 2.3505884e+00 7.8362464e-08 2.8459877e-03 -7.6153351e-06
   6 8.5328417e+02 1.3012733e-02 1.1956758e-05 1.8985049e+00 8.5382552e-08 2.7358000e-03 -3.7440594e-06
   7 8.3623729e+02 7.0450098e-03 1.5947362e-05 1.4957063e+00 9.1561521e-08 2.6287163e-03 -3.9062937e-07
   8 8.2597419e+02 4.5224701e-03 2.0511067e-05 1.1859329e+00 9.7029153e-08 2.5248654e-03 1.8749463e-06
   9 8.2111385e+02 3.6191500e-03 2.5649033e-05 9.7478469e-01 1.0189553e-07 2.4229872e-03 2.8365941e-06
  10 8.2019608e+02 3.0956061e-03 3.1362535e-05 8.5468762e-01 1.0622964e-07 2.3250278e-03 2.6556991e-06
  11 8.2182878e+02 2.6176399e-03 3.7652951e-05 8.0885584e-01 1.1012549e-07 2.2352841e-03 1.7658066e-06
  12 8.2673078e+02 2.2944902e-03 4.4521760e-05 8.1873026e-01 1.1358667e-07 2.1527166e-03 6.3611034e-07
  13 8.3299258e+02 2.2069409e-03 5.1970522e-05 8.6105796e-01 1.1671523e-07 2.0799596e-03 -3.9935807e-07
  14 8.4044094e+02 2.2991802e-03 6.0000870e-05 9.1460460e-01 1.1950048e-07 2.0097435e-03 -1.1479257e-06
  15 8.4802440e+02 2.4886736e-03 6.8614498e-05 9.7141350e-01 1.2201625e-07 1.9425676e-03 -1.4841406e-06
  16 8.5752025e+02 2.7511192e-03 7.7813150e-05 1.0330871e+00 1.2426655e-07 1.8757088e-03 -1.3385253e-06
  17 8.6877475e+02 3.1280924e-03 8.7598601e-05 1.0970263e+00 1.2627864e-07 1.8107438e-03 -8.6664873e-07
  18 8.8064124e+02 3.6635747e-03 9.7972651e-05 1.1618543e+00 1.2808708e-07 1.7501670e-03 -2.8730820e-07
  19 8.9387656e+02 4.3627703e-03 1.0893711e-04 1.2307318e+00 1.2970193e-07 1.6938439e-03 1.4205865e-07
  20 9.0686794e+02 5.2045856e-03 1.2049378e-04 1.2986212e+00 1.3113110e-07 1.6410480e-03 2.2908096e-07
  21 9.2031118e+02 6.1819461e-03 1.3264444e-04 1.3700718e+00 1.3239615e-07 1.5911594e-03 6.9908802e-08
  22 9.3423348e+02 7.3050142e-03 1.4539086e-04 1.4454537e+00 1.3351867e-07 1.5436785e-03 -1.8271860e-07
  23 9.4824778e+02 8.5665954e-03 1.5873474e-04 1.5223593e+00 1.3450749e-07 1.4984153e-03 -4.2966295e-07
  24 9.6267315e+02 9.9645167e-03 1.7267776e-04 1.5976059e+00 1.3536941e-07 1.4552720e-03 -6.0629662e-07
  25 9.7764311e+02 1.1503139e-02 1.8722149e-04 1.6632331e+00 1.3611557e-07 1.4141816e-03 -7.3052824e-07
  26 9.9266733e+02 1.3194293e-02 2.0236747e-04 1.7226721e+00 1.3675767e-07 1.3750303e-03 -8.2276989e-07
  27 1.0081545e+03 1.5048511e-02 2.1811712e-04 1.7767421e+00 1.3730467e-07 1.3374649e-03 -8.3261167e-07
  28 1.0239343e+03 1.7059428e-02 2.3447178e-04 1.8207156e+00 1.3776337e-07 1.3012000e-03 -7.1289486e-07
  29 1.0399256e+03 1.9253078e-02 2.5143269e-04 1.8595296e+00 1.3813385e-07 1.2664296e-03 -4.9863410e-07
  30 1.0563215e+03 2.1658068e-02 2.6900098e-04 1.8864376e+00 1.3841724e-07 1.2333839e-03 -2.5671526e-07
  31 1.0725164e+03 2.4271731e-02 2.8717764e-04 1.9122811e+00 1.3862470e-07 1.2019549e-03 -1.0048187e-07
  32 1.0893168e+03 2.7110986e-02 3.0596357e-04 1.9320879e+00 1.3876800e-07 1.1719560e-03 -1.2316161e-07
  33 1.1061976e+03 3.0134929e-02 3.2535953e-04 1.9444280e+00 1.3885103e-07 1.1432138e-03 -2.9305302e-07
  34 1.1231403e+03 3.3368089e-02 3.4536615e-04 1.9504104e+00 1.3887624e-07 1.1155440e-03 -5.3647390e-07
  35 1.1407187e+03 3.6817314e-02 3.6598394e-04 1.9407854e+00 1.3884753e-07 1.0886978e-03 -7.3559134e-07
  36 1.1580251e+03 4.0511521e-02 3.8721327e-04 1.9257149e+00 1.3876913e-07 1.0625431e-03 -7.8933781e-07
  37 1.1755888e+03 4.4476338e-02 4.0905438e-04 1.8994370e+00 1.3864468e-07 1.0374716e-03 -7.0624945e-07
  38 1.1935215e+03 4.8700015e-02 4.3150740e-04 1.8640263e+00 1.3847743e-07 1.0138599e-03 -5.2862318e-07
  39 1.2117246e+03 5.3171975e-02 4.5457231e-04 1.8192206e+00 1.3826960e-07 9.9150126e-04 -3.2484349e-07
  40 1.2301158e+03 5.7884553e-02 4.7824898e-04 1.7631526e+00 1.3802311e-07 9.7004608e-04 -1.6958146e-07
  41 1.2486073e+03 6.2834312e-02 5.0253717e-04 1.6945455e+00 1.3774007e-07 9.4920532e-04 -1.1861768e-07
  42 1.2672023e+03 6.8034219e-02 5.2743653e-04 1.6144194e+00 1.3742282e-07 9.2892478e-04 -1.5314215e-07
  43 1.2859136e+03 7.3501174e-02 5.5294660e-04 1.5239689e+00 1.3707372e-07 9.0920897e-04 -2.3584300e-07
  44 1.3047912e+03 7.9249921e-02 5.7906684e-04 1.4227846e+00 1.3669522e-07 8.9006327e-04 -3.2954289e-07
  45 1.3238998e+03 8.5292382e-02 6.0579660e-04 1.3101522e+00 1.3628982e-07 8.7149361e-04 -3.9718411e-07
  46 1.3432062e+03 9.1635787e-02 6.3313518e-04 1.1857596e+00 1.3585976e-07 8.5350058e-04 -4.1255090e-07
  47 1.3626927e+03 9.8280352e-02 6.6108181e-04 1.0490458e+00 1.3540687e-07 8.3606449e-04 -3.9240749e-07
  48 1.3823331e+03 1.0521766e-01 6.8963566e-04 8.9936887e-01 1.3493273e-07 8.1916032e-04 -3.6418663e-07
  49 1.4021156e+03 1.1243856e-01 7.1879586e-04 7.3616143e-01 1.3443893e-07 8.0276359e-04 -3.5524704e-07
  50 1.4220955e+03 1.1994504e-01 7.4856151e-04 5.5899489e-01 1.3392712e-07 7.8685016e-04 -3.9288076e-07
  51 1.4423318e+03 1.2774050e-01 7.7893170e-04 3.6775757e-01 1.3339890e-07 7.7140301e-04 -4.9420050e-07
  52 1.4627714e+03 1.3582952e-01 8.0990549e-04 1.6340310e-01 1.3285525e-07 7.5643130e-04 -6.3583192e-07
  53 1.4833431e+03 1.4421368e-01 8.4148198e-04 -5.3058472e-02 1.3229728e-07 7.4195183e-04 -7.8435047e-07
  54 1.5040271e+03 1.5289525e-01 8.7366027e-04 -2.8147620e-01 1.3172594e-07 7.2798086e-04 -9.0640413e-07
  55 1.5248190e+03 1.6187803e-01 9.0643949e-04 -5.2206877e-01 1.3114222e-07 7.1453499e-04 -9.6870734e-07
  56 1.5458302e+03 1.7115900e-01 9.3981883e-04 -7.7569752e-01 1.3054715e-07 7.0161961e-04 -9.4816330e-07
